Experiment start. 

Data :	 6
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.437500	 taskstep variance 2.064582	 total taskstep 12.000000	 robotstep 62.000000	 robotstep mean 53.250000	 robotstep variance 5.118594	 total robotstep 66.000000
RandomNoPair Algorithm :	 taskstep 15.000000	 taskstep mean 10.000000	 taskstep variance 3.425395	 total taskstep 15.000000	 robotstep 68.000000	 robotstep mean 55.187500	 robotstep variance 6.420994	 total robotstep 71.000000
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 7.937500	 taskstep variance 1.948290	 total taskstep 10.000000	 robotstep 67.000000	 robotstep mean 58.312500	 robotstep variance 5.618051	 total robotstep 73.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.562500	 taskstep variance 2.096624	 total taskstep 12.000000	 robotstep 68.000000	 robotstep mean 58.375000	 robotstep variance 5.414487	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 8.625000	 taskstep variance 1.627882	 total taskstep 11.000000	 robotstep 66.000000	 robotstep mean 55.937500	 robotstep variance 5.579352	 total robotstep 70.000000
Data 6 complete: (RandNoPair Algorithm)	 success rate: 0.950000	 task step: 11.473684	 taskstep mean 8.950658	 taskstep variance 2.041536	 total taskstep 11.473684	 robotstep 70.684211	 robotstep mean 59.075658	 robotstep variance 6.179221	 total robotstep 76.105263
RandomSearch Algorithm :	 taskstep 20.000000	 taskstep mean 15.625000	 taskstep variance 2.848976	 total taskstep 17.000000	 robotstep 93.000000	 robotstep mean 70.750000	 robotstep variance 9.976639	 total robotstep 96.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.125000	 taskstep variance 2.362908	 total taskstep 9.000000	 robotstep 74.000000	 robotstep mean 60.750000	 robotstep variance 6.308724	 total robotstep 78.000000
RandomSearch Algorithm :	 taskstep 17.000000	 taskstep mean 13.000000	 taskstep variance 2.780887	 total taskstep 13.000000	 robotstep 74.000000	 robotstep mean 63.312500	 robotstep variance 6.529102	 total robotstep 87.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 15.562500	 taskstep variance 3.097714	 total taskstep 17.000000	 robotstep 82.000000	 robotstep mean 62.875000	 robotstep variance 7.847505	 total robotstep 83.000000
RandomSearch Algorithm :	 taskstep 18.000000	 taskstep mean 13.000000	 taskstep variance 2.732520	 total taskstep 13.000000	 robotstep 70.000000	 robotstep mean 60.000000	 robotstep variance 5.750362	 total robotstep 79.000000
RandomSearch Algorithm :	 taskstep 20.000000	 taskstep mean 16.000000	 taskstep variance 2.529822	 total taskstep 18.000000	 robotstep 80.000000	 robotstep mean 64.187500	 robotstep variance 6.891722	 total robotstep 85.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 15.125000	 taskstep variance 2.629956	 total taskstep 16.000000	 robotstep 70.000000	 robotstep mean 59.375000	 robotstep variance 7.256032	 total robotstep 78.000000
RandomSearch Algorithm :	 taskstep 23.000000	 taskstep mean 16.875000	 taskstep variance 2.872281	 total taskstep 19.000000	 robotstep 98.000000	 robotstep mean 78.562500	 robotstep variance 11.087343	 total robotstep 107.000000
RandomSearch Algorithm :	 taskstep 17.000000	 taskstep mean 11.875000	 taskstep variance 2.872281	 total taskstep 11.000000	 robotstep 74.000000	 robotstep mean 60.312500	 robotstep variance 7.726308	 total robotstep 77.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 13.000000	 taskstep variance 2.875181	 total taskstep 13.000000	 robotstep 86.000000	 robotstep mean 66.125000	 robotstep variance 7.940403	 total robotstep 88.000000
RandomSearch Algorithm :	 taskstep 16.000000	 taskstep mean 12.000000	 taskstep variance 2.129163	 total taskstep 11.000000	 robotstep 78.000000	 robotstep mean 64.187500	 robotstep variance 7.901213	 total robotstep 86.000000
RandomSearch Algorithm :	 taskstep 16.000000	 taskstep mean 11.500000	 taskstep variance 2.683282	 total taskstep 11.000000	 robotstep 78.000000	 robotstep mean 63.437500	 robotstep variance 7.597971	 total robotstep 83.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 13.625000	 taskstep variance 2.552776	 total taskstep 15.000000	 robotstep 83.000000	 robotstep mean 64.437500	 robotstep variance 7.220053	 total robotstep 84.000000
RandomSearch Algorithm :	 taskstep 35.000000	 taskstep mean 27.250000	 taskstep variance 3.820995	 total taskstep 33.000000	 robotstep 86.000000	 robotstep mean 69.250000	 robotstep variance 8.119934	 total robotstep 97.000000
RandomSearch Algorithm :	 taskstep 23.000000	 taskstep mean 19.250000	 taskstep variance 2.516611	 total taskstep 23.000000	 robotstep 75.000000	 robotstep mean 63.625000	 robotstep variance 6.682066	 total robotstep 86.000000
RandomSearch Algorithm :	 taskstep 37.000000	 taskstep mean 29.687500	 taskstep variance 4.269563	 total taskstep 39.000000	 robotstep 82.000000	 robotstep mean 71.375000	 robotstep variance 6.031860	 total robotstep 99.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 14.250000	 taskstep variance 2.569047	 total taskstep 14.000000	 robotstep 82.000000	 robotstep mean 62.312500	 robotstep variance 7.812117	 total robotstep 83.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 15.687500	 taskstep variance 2.982588	 total taskstep 16.000000	 robotstep 100.000000	 robotstep mean 77.562500	 robotstep variance 11.644562	 total robotstep 109.000000
RandomSearch Algorithm :	 taskstep 22.000000	 taskstep mean 17.125000	 taskstep variance 2.578759	 total taskstep 19.000000	 robotstep 80.000000	 robotstep mean 63.437500	 robotstep variance 7.915965	 total robotstep 86.000000
RandomSearch Algorithm :	 taskstep 23.000000	 taskstep mean 18.500000	 taskstep variance 3.141125	 total taskstep 22.000000	 robotstep 80.000000	 robotstep mean 65.750000	 robotstep variance 8.095266	 total robotstep 92.000000
Data 6 complete: (RandomSearch Algorithm)	 success rate: 1.000000	 task step: 21.000000	 taskstep mean 15.953125	 taskstep variance 2.842322	 total taskstep 17.450000	 robotstep 81.250000	 robotstep mean 65.581250	 robotstep variance 7.816757	 total robotstep 88.150000

Data :	 7
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 10.250000	 taskstep variance 3.511885	 total taskstep 14.000000	 robotstep 56.000000	 robotstep mean 49.375000	 robotstep variance 3.364025	 total robotstep 68.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 12.750000	 taskstep variance 4.057914	 total taskstep 18.000000	 robotstep 47.000000	 robotstep mean 40.875000	 robotstep variance 3.556684	 total robotstep 52.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 12.062500	 taskstep variance 3.889623	 total taskstep 17.000000	 robotstep 53.000000	 robotstep mean 45.500000	 robotstep variance 3.983298	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 18.000000	 taskstep mean 12.875000	 taskstep variance 4.161330	 total taskstep 18.000000	 robotstep 55.000000	 robotstep mean 46.062500	 robotstep variance 3.567796	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 12.187500	 taskstep variance 4.246077	 total taskstep 18.000000	 robotstep 52.000000	 robotstep mean 45.187500	 robotstep variance 3.310967	 total robotstep 58.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 12.312500	 taskstep variance 4.190764	 total taskstep 17.000000	 robotstep 51.000000	 robotstep mean 44.500000	 robotstep variance 3.829708	 total robotstep 58.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.625000	 taskstep variance 3.575379	 total taskstep 16.000000	 robotstep 49.000000	 robotstep mean 43.750000	 robotstep variance 2.744692	 total robotstep 61.000000
RandomNoPair Algorithm :	 taskstep 15.000000	 taskstep mean 10.750000	 taskstep variance 3.855732	 total taskstep 15.000000	 robotstep 51.000000	 robotstep mean 45.500000	 robotstep variance 3.183290	 total robotstep 65.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.625000	 taskstep variance 3.947573	 total taskstep 16.000000	 robotstep 49.000000	 robotstep mean 41.000000	 robotstep variance 3.033150	 total robotstep 58.000000
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 11.062500	 taskstep variance 3.623419	 total taskstep 15.000000	 robotstep 63.000000	 robotstep mean 52.000000	 robotstep variance 4.195235	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 15.000000	 taskstep mean 11.187500	 taskstep variance 3.673668	 total taskstep 15.000000	 robotstep 49.000000	 robotstep mean 43.250000	 robotstep variance 2.768875	 total robotstep 57.000000
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 10.250000	 taskstep variance 3.336665	 total taskstep 14.000000	 robotstep 49.000000	 robotstep mean 45.437500	 robotstep variance 2.421260	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 20.000000	 taskstep mean 14.625000	 taskstep variance 4.801042	 total taskstep 21.000000	 robotstep 52.000000	 robotstep mean 46.687500	 robotstep variance 3.135150	 total robotstep 64.000000
RandomNoPair Algorithm :	 taskstep 20.000000	 taskstep mean 13.687500	 taskstep variance 4.585757	 total taskstep 21.000000	 robotstep 59.000000	 robotstep mean 43.687500	 robotstep variance 5.121442	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 12.875000	 taskstep variance 4.303100	 total taskstep 18.000000	 robotstep 49.000000	 robotstep mean 43.187500	 robotstep variance 3.103090	 total robotstep 57.000000
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 10.812500	 taskstep variance 3.709784	 total taskstep 14.000000	 robotstep 63.000000	 robotstep mean 52.437500	 robotstep variance 4.194739	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 12.000000	 taskstep variance 3.759433	 total taskstep 18.000000	 robotstep 51.000000	 robotstep mean 45.562500	 robotstep variance 2.393568	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 17.000000	 taskstep mean 12.625000	 taskstep variance 4.425306	 total taskstep 18.000000	 robotstep 52.000000	 robotstep mean 46.187500	 robotstep variance 3.487478	 total robotstep 62.000000
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 10.812500	 taskstep variance 3.798574	 total taskstep 15.000000	 robotstep 56.000000	 robotstep mean 48.187500	 robotstep variance 3.250000	 total robotstep 66.000000
RandomNoPair Algorithm :	 taskstep 16.000000	 taskstep mean 11.687500	 taskstep variance 3.628016	 total taskstep 17.000000	 robotstep 54.000000	 robotstep mean 46.312500	 robotstep variance 3.700788	 total robotstep 66.000000
Data 7 complete: (RandNoPair Algorithm)	 success rate: 1.000000	 task step: 16.200000	 taskstep mean 11.903125	 taskstep variance 3.954052	 total taskstep 16.750000	 robotstep 53.000000	 robotstep mean 45.734375	 robotstep variance 3.417262	 total robotstep 62.700000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 15.000000	 taskstep variance 3.011091	 total taskstep 15.000000	 robotstep 63.000000	 robotstep mean 50.375000	 robotstep variance 6.130525	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 29.000000	 taskstep mean 23.875000	 taskstep variance 3.461695	 total taskstep 29.000000	 robotstep 62.000000	 robotstep mean 52.062500	 robotstep variance 5.938224	 total robotstep 70.000000
RandomSearch Algorithm :	 taskstep 24.000000	 taskstep mean 20.125000	 taskstep variance 2.629956	 total taskstep 24.000000	 robotstep 62.000000	 robotstep mean 50.687500	 robotstep variance 5.700512	 total robotstep 71.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.750000	 taskstep variance 3.087610	 total taskstep 10.000000	 robotstep 52.000000	 robotstep mean 44.875000	 robotstep variance 4.991660	 total robotstep 62.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.000000	 taskstep variance 3.098387	 total taskstep 9.000000	 robotstep 53.000000	 robotstep mean 44.312500	 robotstep variance 4.686417	 total robotstep 61.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.000000	 taskstep variance 3.011091	 total taskstep 9.000000	 robotstep 60.000000	 robotstep mean 52.812500	 robotstep variance 4.679298	 total robotstep 77.000000
RandomSearch Algorithm :	 taskstep 24.000000	 taskstep mean 18.687500	 taskstep variance 3.177394	 total taskstep 24.000000	 robotstep 65.000000	 robotstep mean 51.125000	 robotstep variance 7.292690	 total robotstep 72.000000
RandomSearch Algorithm :	 taskstep 18.000000	 taskstep mean 13.937500	 taskstep variance 2.322893	 total taskstep 15.000000	 robotstep 60.000000	 robotstep mean 50.687500	 robotstep variance 4.253920	 total robotstep 71.000000
RandomSearch Algorithm :	 taskstep 20.000000	 taskstep mean 15.437500	 taskstep variance 2.606882	 total taskstep 17.000000	 robotstep 64.000000	 robotstep mean 53.562500	 robotstep variance 5.784678	 total robotstep 75.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.125000	 taskstep variance 3.095696	 total taskstep 9.000000	 robotstep 60.000000	 robotstep mean 53.000000	 robotstep variance 4.575296	 total robotstep 77.000000
RandomSearch Algorithm :	 taskstep 25.000000	 taskstep mean 19.250000	 taskstep variance 3.336665	 total taskstep 22.000000	 robotstep 66.000000	 robotstep mean 52.312500	 robotstep variance 7.630804	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 18.000000	 taskstep mean 13.250000	 taskstep variance 3.130495	 total taskstep 13.000000	 robotstep 58.000000	 robotstep mean 48.875000	 robotstep variance 5.426785	 total robotstep 70.000000
RandomSearch Algorithm :	 taskstep 20.000000	 taskstep mean 15.562500	 taskstep variance 2.581182	 total taskstep 17.000000	 robotstep 62.000000	 robotstep mean 54.500000	 robotstep variance 5.072803	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 25.000000	 taskstep mean 20.062500	 taskstep variance 3.315997	 total taskstep 24.000000	 robotstep 57.000000	 robotstep mean 49.250000	 robotstep variance 5.000000	 total robotstep 68.000000
RandomSearch Algorithm :	 taskstep 30.000000	 taskstep mean 25.125000	 taskstep variance 3.685557	 total taskstep 31.000000	 robotstep 64.000000	 robotstep mean 50.625000	 robotstep variance 8.023923	 total robotstep 72.000000
RandomSearch Algorithm :	 taskstep 26.000000	 taskstep mean 20.750000	 taskstep variance 3.087610	 total taskstep 24.000000	 robotstep 65.000000	 robotstep mean 52.750000	 robotstep variance 8.977750	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 16.000000	 taskstep mean 10.875000	 taskstep variance 3.422962	 total taskstep 10.000000	 robotstep 55.000000	 robotstep mean 45.312500	 robotstep variance 5.173248	 total robotstep 63.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 10.000000	 taskstep variance 3.011091	 total taskstep 9.000000	 robotstep 60.000000	 robotstep mean 52.875000	 robotstep variance 4.602536	 total robotstep 77.000000
RandomSearch Algorithm :	 taskstep 14.000000	 taskstep mean 9.750000	 taskstep variance 2.863564	 total taskstep 9.000000	 robotstep 50.000000	 robotstep mean 43.062500	 robotstep variance 4.281258	 total robotstep 60.000000
RandomSearch Algorithm :	 taskstep 18.000000	 taskstep mean 13.250000	 taskstep variance 2.909754	 total taskstep 13.000000	 robotstep 58.000000	 robotstep mean 50.125000	 robotstep variance 6.173870	 total robotstep 67.000000
Data 7 complete: (RandomSearch Algorithm)	 success rate: 1.000000	 task step: 20.050000	 taskstep mean 15.290625	 taskstep variance 3.042378	 total taskstep 16.650000	 robotstep 59.800000	 robotstep mean 50.159375	 robotstep variance 5.719810	 total robotstep 70.250000

Data :	 8
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.750000	 taskstep variance 2.265686	 total taskstep 12.000000	 robotstep 49.000000	 robotstep mean 40.125000	 robotstep variance 4.801042	 total robotstep 52.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 10.250000	 taskstep variance 1.879716	 total taskstep 12.000000	 robotstep 49.000000	 robotstep mean 41.937500	 robotstep variance 4.343098	 total robotstep 58.000000
RandomNoPair Algorithm :	 taskstep 20.000000	 taskstep mean 14.812500	 taskstep variance 4.308422	 total taskstep 21.000000	 robotstep 61.000000	 robotstep mean 47.750000	 robotstep variance 5.927338	 total robotstep 66.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.500000	 taskstep variance 2.250926	 total taskstep 12.000000	 robotstep 49.000000	 robotstep mean 40.562500	 robotstep variance 3.966001	 total robotstep 51.000000
RandomNoPair Algorithm :	 taskstep 14.000000	 taskstep mean 10.812500	 taskstep variance 3.037954	 total taskstep 14.000000	 robotstep 60.000000	 robotstep mean 48.875000	 robotstep variance 4.616998	 total robotstep 69.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 10.062500	 taskstep variance 2.264766	 total taskstep 12.000000	 robotstep 52.000000	 robotstep mean 42.375000	 robotstep variance 4.602536	 total robotstep 54.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 9.250000	 taskstep variance 2.206052	 total taskstep 11.000000	 robotstep 48.000000	 robotstep mean 39.000000	 robotstep variance 4.195235	 total robotstep 49.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.500000	 taskstep variance 2.607681	 total taskstep 12.000000	 robotstep 53.000000	 robotstep mean 43.625000	 robotstep variance 4.440345	 total robotstep 57.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.250000	 taskstep variance 2.932576	 total taskstep 13.000000	 robotstep 52.000000	 robotstep mean 42.250000	 robotstep variance 4.864840	 total robotstep 54.000000
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 9.437500	 taskstep variance 1.093542	 total taskstep 10.000000	 robotstep 55.000000	 robotstep mean 45.062500	 robotstep variance 4.358421	 total robotstep 60.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 9.500000	 taskstep variance 1.505545	 total taskstep 11.000000	 robotstep 51.000000	 robotstep mean 41.312500	 robotstep variance 4.269563	 total robotstep 52.000000
RandomNoPair Algorithm :	 taskstep 9.000000	 taskstep mean 7.937500	 taskstep variance 1.388944	 total taskstep 9.000000	 robotstep 46.000000	 robotstep mean 38.625000	 robotstep variance 3.138471	 total robotstep 47.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.312500	 taskstep variance 2.774137	 total taskstep 12.000000	 robotstep 51.000000	 robotstep mean 41.062500	 robotstep variance 4.404070	 total robotstep 52.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.500000	 taskstep variance 2.732520	 total taskstep 13.000000	 robotstep 64.000000	 robotstep mean 50.812500	 robotstep variance 4.819665	 total robotstep 72.000000
RandomNoPair Algorithm :	 taskstep 15.000000	 taskstep mean 11.000000	 taskstep variance 3.366502	 total taskstep 15.000000	 robotstep 49.000000	 robotstep mean 39.062500	 robotstep variance 4.850687	 total robotstep 56.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.000000	 taskstep variance 2.966479	 total taskstep 12.000000	 robotstep 65.000000	 robotstep mean 51.562500	 robotstep variance 4.979541	 total robotstep 72.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.625000	 taskstep variance 2.418677	 total taskstep 13.000000	 robotstep 55.000000	 robotstep mean 45.687500	 robotstep variance 4.362243	 total robotstep 61.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.187500	 taskstep variance 2.833578	 total taskstep 13.000000	 robotstep 49.000000	 robotstep mean 39.625000	 robotstep variance 3.518996	 total robotstep 51.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 9.812500	 taskstep variance 2.663801	 total taskstep 13.000000	 robotstep 58.000000	 robotstep mean 46.312500	 robotstep variance 4.922313	 total robotstep 64.000000
RandomNoPair Algorithm :	 taskstep 15.000000	 taskstep mean 10.875000	 taskstep variance 3.304038	 total taskstep 15.000000	 robotstep 54.000000	 robotstep mean 44.125000	 robotstep variance 4.544227	 total robotstep 59.000000
Data 8 complete: (RandNoPair Algorithm)	 success rate: 1.000000	 task step: 12.700000	 taskstep mean 10.118750	 taskstep variance 2.540077	 total taskstep 12.750000	 robotstep 53.500000	 robotstep mean 43.487500	 robotstep variance 4.496282	 total robotstep 57.800000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 14.187500	 taskstep variance 2.809953	 total taskstep 15.000000	 robotstep 55.000000	 robotstep mean 43.125000	 robotstep variance 6.407027	 total robotstep 58.000000
RandomSearch Algorithm :	 taskstep 17.000000	 taskstep mean 11.500000	 taskstep variance 2.780887	 total taskstep 11.000000	 robotstep 59.000000	 robotstep mean 47.187500	 robotstep variance 4.956057	 total robotstep 65.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 16.500000	 taskstep variance 2.476557	 total taskstep 18.000000	 robotstep 61.000000	 robotstep mean 51.000000	 robotstep variance 4.774935	 total robotstep 70.000000
RandomSearch Algorithm :	 taskstep 33.000000	 taskstep mean 26.875000	 taskstep variance 2.825479	 total taskstep 35.000000	 robotstep 71.000000	 robotstep mean 58.750000	 robotstep variance 4.837355	 total robotstep 82.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 14.625000	 taskstep variance 2.156386	 total taskstep 16.000000	 robotstep 61.000000	 robotstep mean 50.562500	 robotstep variance 5.328774	 total robotstep 71.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 14.625000	 taskstep variance 2.552776	 total taskstep 15.000000	 robotstep 61.000000	 robotstep mean 47.687500	 robotstep variance 5.412563	 total robotstep 70.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 16.375000	 taskstep variance 2.655184	 total taskstep 17.000000	 robotstep 56.000000	 robotstep mean 46.750000	 robotstep variance 5.949790	 total robotstep 61.000000
RandomSearch Algorithm :	 taskstep 25.000000	 taskstep mean 19.937500	 taskstep variance 2.694903	 total taskstep 24.000000	 robotstep 57.000000	 robotstep mean 47.125000	 robotstep variance 4.529533	 total robotstep 63.000000
RandomSearch Algorithm :	 taskstep 19.000000	 taskstep mean 13.875000	 taskstep variance 2.963669	 total taskstep 14.000000	 robotstep 55.000000	 robotstep mean 44.062500	 robotstep variance 4.611128	 total robotstep 59.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 16.750000	 taskstep variance 2.408319	 total taskstep 18.000000	 robotstep 56.000000	 robotstep mean 43.312500	 robotstep variance 5.055937	 total robotstep 61.000000
RandomSearch Algorithm :	 taskstep 39.000000	 taskstep mean 32.375000	 taskstep variance 3.442383	 total taskstep 42.000000	 robotstep 67.000000	 robotstep mean 55.687500	 robotstep variance 6.508648	 total robotstep 81.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 14.500000	 taskstep variance 3.577709	 total taskstep 15.000000	 robotstep 54.000000	 robotstep mean 43.812500	 robotstep variance 6.452067	 total robotstep 59.000000
RandomSearch Algorithm :	 taskstep 25.000000	 taskstep mean 20.625000	 taskstep variance 2.334524	 total taskstep 24.000000	 robotstep 71.000000	 robotstep mean 52.937500	 robotstep variance 6.707893	 total robotstep 75.000000
RandomSearch Algorithm :	 taskstep 16.000000	 taskstep mean 11.000000	 taskstep variance 2.780887	 total taskstep 10.000000	 robotstep 54.000000	 robotstep mean 43.312500	 robotstep variance 4.757012	 total robotstep 57.000000
RandomSearch Algorithm :	 taskstep 16.000000	 taskstep mean 12.125000	 taskstep variance 2.187083	 total taskstep 11.000000	 robotstep 71.000000	 robotstep mean 56.937500	 robotstep variance 5.926986	 total robotstep 80.000000
RandomSearch Algorithm :	 taskstep 22.000000	 taskstep mean 17.375000	 taskstep variance 2.552776	 total taskstep 21.000000	 robotstep 63.000000	 robotstep mean 49.562500	 robotstep variance 6.032896	 total robotstep 71.000000
RandomSearch Algorithm :	 taskstep 27.000000	 taskstep mean 22.562500	 taskstep variance 2.337199	 total taskstep 25.000000	 robotstep 73.000000	 robotstep mean 57.562500	 robotstep variance 6.164076	 total robotstep 80.000000
RandomSearch Algorithm :	 taskstep 21.000000	 taskstep mean 16.625000	 taskstep variance 2.446085	 total taskstep 17.000000	 robotstep 70.000000	 robotstep mean 54.000000	 robotstep variance 6.928203	 total robotstep 73.000000
RandomSearch Algorithm :	 taskstep 15.000000	 taskstep mean 11.000000	 taskstep variance 2.309401	 total taskstep 10.000000	 robotstep 59.000000	 robotstep mean 48.437500	 robotstep variance 5.189332	 total robotstep 68.000000
