Experiment start. 

Data :	 1
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 4.375000	 taskstep variance 0.744024	 total taskstep 5.000000	 robotstep 31.000000	 robotstep mean 29.250000	 robotstep variance 1.488048	 total robotstep 31.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.125000	 taskstep variance 0.834523	 total taskstep 7.000000	 robotstep 34.000000	 robotstep mean 31.875000	 robotstep variance 1.552648	 total robotstep 34.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.125000	 robotstep variance 1.642081	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.755929	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.302470	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.625000	 taskstep variance 0.517549	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.250000	 robotstep variance 1.035098	 total robotstep 29.000000
Data 1 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 4.350000	 taskstep mean 3.775000	 taskstep variance 0.698819	 total taskstep 4.350000	 robotstep 29.450000	 robotstep mean 27.737500	 robotstep variance 1.326828	 total robotstep 29.450000

Data :	 2
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.000000	 taskstep variance 1.632993	 total taskstep 8.000000	 robotstep 39.000000	 robotstep mean 33.687500	 robotstep variance 2.522400	 total robotstep 40.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.812500	 taskstep variance 1.424488	 total taskstep 8.000000	 robotstep 40.000000	 robotstep mean 36.375000	 robotstep variance 2.753785	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.937500	 taskstep variance 1.569235	 total taskstep 8.000000	 robotstep 40.000000	 robotstep mean 36.562500	 robotstep variance 2.128184	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.937500	 taskstep variance 1.652019	 total taskstep 10.000000	 robotstep 38.000000	 robotstep mean 34.000000	 robotstep variance 2.221111	 total robotstep 39.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.500000	 taskstep variance 1.316561	 total taskstep 7.000000	 robotstep 39.000000	 robotstep mean 35.812500	 robotstep variance 2.455436	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.250000	 taskstep variance 1.238278	 total taskstep 7.000000	 robotstep 39.000000	 robotstep mean 35.812500	 robotstep variance 2.535580	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.437500	 taskstep variance 1.364734	 total taskstep 7.000000	 robotstep 39.000000	 robotstep mean 35.812500	 robotstep variance 2.455436	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.500000	 taskstep variance 1.316561	 total taskstep 7.000000	 robotstep 39.000000	 robotstep mean 35.812500	 robotstep variance 2.455436	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.250000	 taskstep variance 1.238278	 total taskstep 7.000000	 robotstep 35.000000	 robotstep mean 31.812500	 robotstep variance 2.561738	 total robotstep 36.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.125000	 taskstep variance 1.258306	 total taskstep 7.000000	 robotstep 37.000000	 robotstep mean 33.312500	 robotstep variance 2.548692	 total robotstep 39.000000
SAPOAads Algorithm :	 taskstep 6.000000	 taskstep mean 4.687500	 taskstep variance 1.014479	 total taskstep 6.000000	 robotstep 37.000000	 robotstep mean 33.625000	 robotstep variance 2.362908	 total robotstep 40.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 5.250000	 taskstep variance 1.238278	 total taskstep 7.000000	 robotstep 39.000000	 robotstep mean 35.937500	 robotstep variance 2.542145	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 6.000000	 taskstep mean 4.687500	 taskstep variance 1.078193	 total taskstep 6.000000	 robotstep 38.000000	 robotstep mean 33.437500	 robotstep variance 2.502499	 total robotstep 40.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.875000	 taskstep variance 1.454877	 total taskstep 8.000000	 robotstep 36.000000	 robotstep mean 32.687500	 robotstep variance 2.750000	 total robotstep 38.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.812500	 taskstep variance 1.600781	 total taskstep 8.000000	 robotstep 40.000000	 robotstep mean 36.250000	 robotstep variance 2.594867	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.750000	 taskstep variance 1.612452	 total taskstep 8.000000	 robotstep 40.000000	 robotstep mean 36.625000	 robotstep variance 2.604483	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.875000	 taskstep variance 1.586401	 total taskstep 8.000000	 robotstep 37.000000	 robotstep mean 33.312500	 robotstep variance 3.004857	 total robotstep 39.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 7.500000	 taskstep variance 2.129163	 total taskstep 11.000000	 robotstep 41.000000	 robotstep mean 36.437500	 robotstep variance 3.010399	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.500000	 taskstep variance 1.632993	 total taskstep 10.000000	 robotstep 39.000000	 robotstep mean 35.375000	 robotstep variance 2.276694	 total robotstep 44.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.562500	 taskstep variance 1.547848	 total taskstep 9.000000	 robotstep 37.000000	 robotstep mean 33.375000	 robotstep variance 2.753785	 total robotstep 39.000000
Data 2 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 7.500000	 taskstep mean 5.762500	 taskstep variance 1.445346	 total taskstep 7.850000	 robotstep 38.450000	 robotstep mean 34.803125	 robotstep variance 2.552022	 total robotstep 42.450000

Data :	 3
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000
Data 3 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 43.000000	 robotstep mean 36.875000	 robotstep variance 3.222318	 total robotstep 45.000000

Data :	 4
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.846154	 taskstep variance 2.115268	 total taskstep 10.000000	 robotstep 44.000000	 robotstep mean 38.307692	 robotstep variance 4.028743	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.538462	 taskstep variance 1.898042	 total taskstep 10.000000	 robotstep 44.000000	 robotstep mean 38.000000	 robotstep variance 3.894440	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 4.538462	 taskstep variance 2.221688	 total taskstep 11.000000	 robotstep 44.000000	 robotstep mean 38.076923	 robotstep variance 3.946761	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 4.076923	 taskstep variance 1.497862	 total taskstep 8.000000	 robotstep 44.000000	 robotstep mean 37.923077	 robotstep variance 4.112208	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 4.692308	 taskstep variance 2.393903	 total taskstep 11.000000	 robotstep 44.000000	 robotstep mean 38.000000	 robotstep variance 3.894440	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.615385	 taskstep variance 1.894662	 total taskstep 10.000000	 robotstep 43.000000	 robotstep mean 36.846154	 robotstep variance 4.058862	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.461538	 taskstep variance 1.761410	 total taskstep 9.000000	 robotstep 44.000000	 robotstep mean 36.923077	 robotstep variance 4.112208	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.538462	 taskstep variance 2.145359	 total taskstep 10.000000	 robotstep 44.000000	 robotstep mean 38.230769	 robotstep variance 4.206222	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 6.000000	 taskstep mean 3.769231	 taskstep variance 1.363442	 total taskstep 7.000000	 robotstep 44.000000	 robotstep mean 37.615385	 robotstep variance 3.841407	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 4.076923	 taskstep variance 1.497862	 total taskstep 8.000000	 robotstep 44.000000	 robotstep mean 38.000000	 robotstep variance 3.894440	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 5.230769	 taskstep variance 2.454718	 total taskstep 13.000000	 robotstep 44.000000	 robotstep mean 36.615385	 robotstep variance 4.093459	 total robotstep 46.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.846154	 taskstep variance 2.115268	 total taskstep 10.000000	 robotstep 46.000000	 robotstep mean 38.461538	 robotstep variance 4.332347	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 4.538462	 taskstep variance 2.221688	 total taskstep 10.000000	 robotstep 44.000000	 robotstep mean 38.692308	 robotstep variance 4.190955	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 4.230769	 taskstep variance 1.690850	 total taskstep 9.000000	 robotstep 44.000000	 robotstep mean 38.230769	 robotstep variance 4.044623	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 6.000000	 taskstep mean 3.769231	 taskstep variance 1.363442	 total taskstep 7.000000	 robotstep 44.000000	 robotstep mean 37.692308	 robotstep variance 3.660251	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 6.000000	 taskstep mean 3.769231	 taskstep variance 1.363442	 total taskstep 7.000000	 robotstep 44.000000	 robotstep mean 37.615385	 robotstep variance 3.841407	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 4.076923	 taskstep variance 1.497862	 total taskstep 8.000000	 robotstep 44.000000	 robotstep mean 38.076923	 robotstep variance 4.050957	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.384615	 taskstep variance 1.757767	 total taskstep 9.000000	 robotstep 43.000000	 robotstep mean 36.923077	 robotstep variance 3.988766	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 4.076923	 taskstep variance 1.497862	 total taskstep 8.000000	 robotstep 44.000000	 robotstep mean 37.923077	 robotstep variance 4.112208	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 4.384615	 taskstep variance 1.660244	 total taskstep 10.000000	 robotstep 42.000000	 robotstep mean 36.461538	 robotstep variance 3.755338	 total robotstep 46.000000
Data 4 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 7.600000	 taskstep mean 4.373077	 taskstep variance 1.820632	 total taskstep 9.250000	 robotstep 43.900000	 robotstep mean 37.730769	 robotstep variance 4.003002	 total robotstep 48.500000

Data :	 5
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000
Data 5 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 40.000000	 robotstep mean 35.187500	 robotstep variance 2.786126	 total robotstep 41.000000

Data :	 6
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 6.812500	 taskstep variance 1.108678	 total taskstep 9.000000	 robotstep 59.000000	 robotstep mean 49.375000	 robotstep variance 4.616998	 total robotstep 61.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.375000	 taskstep variance 0.957427	 total taskstep 10.000000	 robotstep 60.000000	 robotstep mean 49.437500	 robotstep variance 5.452446	 total robotstep 61.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 9.187500	 taskstep variance 1.600781	 total taskstep 12.000000	 robotstep 61.000000	 robotstep mean 49.937500	 robotstep variance 5.347507	 total robotstep 62.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.500000	 taskstep variance 1.154701	 total taskstep 12.000000	 robotstep 61.000000	 robotstep mean 50.125000	 robotstep variance 4.991660	 total robotstep 62.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 8.812500	 taskstep variance 1.376893	 total taskstep 13.000000	 robotstep 59.000000	 robotstep mean 48.937500	 robotstep variance 5.182905	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 7.875000	 taskstep variance 1.586401	 total taskstep 11.000000	 robotstep 64.000000	 robotstep mean 51.937500	 robotstep variance 5.195751	 total robotstep 65.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 9.500000	 taskstep variance 1.032796	 total taskstep 13.000000	 robotstep 58.000000	 robotstep mean 49.250000	 robotstep variance 4.449719	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.562500	 taskstep variance 1.209339	 total taskstep 8.000000	 robotstep 58.000000	 robotstep mean 48.687500	 robotstep variance 5.237286	 total robotstep 59.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 9.437500	 taskstep variance 1.860779	 total taskstep 12.000000	 robotstep 65.000000	 robotstep mean 54.687500	 robotstep variance 5.510218	 total robotstep 66.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.500000	 taskstep variance 1.211060	 total taskstep 10.000000	 robotstep 57.000000	 robotstep mean 48.812500	 robotstep variance 4.764014	 total robotstep 59.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 6.750000	 taskstep variance 0.774597	 total taskstep 9.000000	 robotstep 59.000000	 robotstep mean 49.062500	 robotstep variance 5.012900	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 8.562500	 taskstep variance 1.711481	 total taskstep 12.000000	 robotstep 64.000000	 robotstep mean 52.437500	 robotstep variance 4.979541	 total robotstep 65.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 8.875000	 taskstep variance 1.586401	 total taskstep 12.000000	 robotstep 62.000000	 robotstep mean 52.125000	 robotstep variance 4.660114	 total robotstep 64.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.250000	 taskstep variance 1.064581	 total taskstep 10.000000	 robotstep 58.000000	 robotstep mean 48.687500	 robotstep variance 4.011961	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 8.562500	 taskstep variance 1.711481	 total taskstep 13.000000	 robotstep 56.000000	 robotstep mean 48.000000	 robotstep variance 4.633213	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 7.000000	 taskstep mean 6.062500	 taskstep variance 1.062623	 total taskstep 8.000000	 robotstep 57.000000	 robotstep mean 47.500000	 robotstep variance 4.487018	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 14.000000	 taskstep mean 10.562500	 taskstep variance 2.920474	 total taskstep 17.000000	 robotstep 55.000000	 robotstep mean 49.937500	 robotstep variance 3.530227	 total robotstep 61.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 7.250000	 taskstep variance 1.064581	 total taskstep 10.000000	 robotstep 61.000000	 robotstep mean 50.125000	 robotstep variance 5.018300	 total robotstep 62.000000
